character	allegiance	episode	episodes
Tyrion Lannister	Unknown	1	46
Tyrion Lannister	Unknown	2	46
Tyrion Lannister	Unknown	3	46
Tyrion Lannister	Unknown	4	46
Tyrion Lannister	Unknown	5	46
Tyrion Lannister	Unknown	6	46
Tyrion Lannister	Unknown	8	46
Tyrion Lannister	Unknown	9	46
Tyrion Lannister	Unknown	10	46
Tyrion Lannister	Unknown	11	46
Tyrion Lannister	Unknown	12	46
Tyrion Lannister	Unknown	13	46
Tyrion Lannister	Unknown	14	46
Tyrion Lannister	Unknown	15	46
Tyrion Lannister	Unknown	16	46
Tyrion Lannister	Unknown	17	46
Tyrion Lannister	Unknown	18	46
Tyrion Lannister	Unknown	19	46
Tyrion Lannister	Unknown	20	46
Tyrion Lannister	Unknown	21	46
Tyrion Lannister	Unknown	22	46
Tyrion Lannister	Unknown	23	46
Tyrion Lannister	Unknown	24	46
Tyrion Lannister	Unknown	25	46
Tyrion Lannister	Unknown	26	46
Tyrion Lannister	Unknown	27	46
Tyrion Lannister	Unknown	28	46
Tyrion Lannister	Unknown	30	46
Tyrion Lannister	Unknown	31	46
Tyrion Lannister	Unknown	32	46
Tyrion Lannister	Unknown	33	46
Tyrion Lannister	Unknown	34	46
Tyrion Lannister	Unknown	36	46
Tyrion Lannister	Unknown	37	46
Tyrion Lannister	Unknown	38	46
Tyrion Lannister	Unknown	40	46
Tyrion Lannister	Unknown	41	46
Tyrion Lannister	Unknown	42	46
Tyrion Lannister	Unknown	43	46
Tyrion Lannister	Unknown	44	46
Tyrion Lannister	Unknown	45	46
Tyrion Lannister	Unknown	46	46
Tyrion Lannister	Unknown	47	46
Tyrion Lannister	Unknown	48	46
Tyrion Lannister	Unknown	49	46
Tyrion Lannister	Unknown	50	46
Cersei Lannister	Unknown	1	44
Cersei Lannister	Unknown	2	44
Cersei Lannister	Unknown	3	44
Cersei Lannister	Unknown	4	44
Cersei Lannister	Unknown	5	44
Cersei Lannister	Unknown	6	44
Cersei Lannister	Unknown	7	44
Cersei Lannister	Unknown	8	44
Cersei Lannister	Unknown	9	44
Cersei Lannister	Unknown	10	44
Cersei Lannister	Unknown	11	44
Cersei Lannister	Unknown	12	44
Cersei Lannister	Unknown	13	44
Cersei Lannister	Unknown	15	44
Cersei Lannister	Unknown	16	44
Cersei Lannister	Unknown	17	44
Cersei Lannister	Unknown	18	44
Cersei Lannister	Unknown	19	44
Cersei Lannister	Unknown	20	44
Cersei Lannister	Unknown	21	44
Cersei Lannister	Unknown	22	44
Cersei Lannister	Unknown	23	44
Cersei Lannister	Unknown	24	44
Cersei Lannister	Unknown	25	44
Cersei Lannister	Unknown	26	44
Cersei Lannister	Unknown	28	44
Cersei Lannister	Unknown	30	44
Cersei Lannister	Unknown	31	44
Cersei Lannister	Unknown	32	44
Cersei Lannister	Unknown	33	44
Cersei Lannister	Unknown	34	44
Cersei Lannister	Unknown	35	44
Cersei Lannister	Unknown	36	44
Cersei Lannister	Unknown	37	44
Cersei Lannister	Unknown	38	44
Cersei Lannister	Unknown	40	44
Cersei Lannister	Unknown	41	44
Cersei Lannister	Unknown	42	44
Cersei Lannister	Unknown	43	44
Cersei Lannister	Unknown	44	44
Cersei Lannister	Unknown	46	44
Cersei Lannister	Unknown	47	44
Cersei Lannister	Unknown	48	44
Cersei Lannister	Unknown	50	44
Daenerys Targaryen	Unknown	1	41
Jon Snow	Unknown	1	41
Daenerys Targaryen	Unknown	2	41
Jon Snow	Unknown	2	41
Daenerys Targaryen	Unknown	3	41
Jon Snow	Unknown	3	41
Daenerys Targaryen	Unknown	4	41
Jon Snow	Unknown	4	41
Daenerys Targaryen	Unknown	6	41
Daenerys Targaryen	Unknown	7	41
Jon Snow	Unknown	7	41
Daenerys Targaryen	Unknown	8	41
Jon Snow	Unknown	8	41
Daenerys Targaryen	Unknown	9	41
Jon Snow	Unknown	9	41
Daenerys Targaryen	Unknown	10	41
Jon Snow	Unknown	10	41
Daenerys Targaryen	Unknown	11	41
Jon Snow	Unknown	11	41
Daenerys Targaryen	Unknown	12	41
Jon Snow	Unknown	12	41
Jon Snow	Unknown	13	41
Daenerys Targaryen	Unknown	14	41
Daenerys Targaryen	Unknown	15	41
Jon Snow	Unknown	15	41
Daenerys Targaryen	Unknown	16	41
Jon Snow	Unknown	16	41
Daenerys Targaryen	Unknown	17	41
Jon Snow	Unknown	17	41
Daenerys Targaryen	Unknown	18	41
Jon Snow	Unknown	18	41
Daenerys Targaryen	Unknown	20	41
Jon Snow	Unknown	20	41
Daenerys Targaryen	Unknown	21	41
Jon Snow	Unknown	21	41
Jon Snow	Unknown	22	41
Daenerys Targaryen	Unknown	23	41
Jon Snow	Unknown	23	41
Daenerys Targaryen	Unknown	24	41
Daenerys Targaryen	Unknown	25	41
Jon Snow	Unknown	25	41
Jon Snow	Unknown	26	41
Daenerys Targaryen	Unknown	27	41
Jon Snow	Unknown	27	41
Daenerys Targaryen	Unknown	28	41
Daenerys Targaryen	Unknown	29	41
Jon Snow	Unknown	29	41
Daenerys Targaryen	Unknown	30	41
Jon Snow	Unknown	30	41
Daenerys Targaryen	Unknown	31	41
Jon Snow	Unknown	31	41
Daenerys Targaryen	Unknown	33	41
Jon Snow	Unknown	33	41
Daenerys Targaryen	Unknown	34	41
Jon Snow	Unknown	34	41
Daenerys Targaryen	Unknown	35	41
Jon Snow	Unknown	35	41
Daenerys Targaryen	Unknown	36	41
Daenerys Targaryen	Unknown	37	41
Jon Snow	Unknown	37	41
Daenerys Targaryen	Unknown	38	41
Jon Snow	Unknown	38	41
Jon Snow	Unknown	39	41
Daenerys Targaryen	Unknown	40	41
Jon Snow	Unknown	40	41
Daenerys Targaryen	Unknown	41	41
Jon Snow	Unknown	41	41
Daenerys Targaryen	Unknown	42	41
Jon Snow	Unknown	42	41
Jon Snow	Unknown	43	41
Daenerys Targaryen	Unknown	44	41
Jon Snow	Unknown	44	41
Daenerys Targaryen	Unknown	45	41
Jon Snow	Unknown	45	41
Daenerys Targaryen	Unknown	47	41
Jon Snow	Unknown	47	41
Daenerys Targaryen	Unknown	48	41
Jon Snow	Unknown	48	41
Daenerys Targaryen	Unknown	49	41
Jon Snow	Unknown	49	41
Daenerys Targaryen	Unknown	50	41
Jon Snow	Unknown	50	41
Sansa Stark	Unknown	1	40
Sansa Stark	Unknown	2	40
Sansa Stark	Unknown	3	40
Sansa Stark	Unknown	4	40
Sansa Stark	Unknown	5	40
Sansa Stark	Unknown	6	40
Sansa Stark	Unknown	8	40
Sansa Stark	Unknown	9	40
Sansa Stark	Unknown	10	40
Sansa Stark	Unknown	11	40
Sansa Stark	Unknown	13	40
Sansa Stark	Unknown	14	40
Sansa Stark	Unknown	16	40
Sansa Stark	Unknown	17	40
Sansa Stark	Unknown	19	40
Sansa Stark	Unknown	20	40
Sansa Stark	Unknown	21	40
Sansa Stark	Unknown	22	40
Sansa Stark	Unknown	24	40
Sansa Stark	Unknown	25	40
Sansa Stark	Unknown	26	40
Sansa Stark	Unknown	27	40
Sansa Stark	Unknown	28	40
Sansa Stark	Unknown	30	40
Sansa Stark	Unknown	31	40
Sansa Stark	Unknown	32	40
Sansa Stark	Unknown	33	40
Sansa Stark	Unknown	34	40
Sansa Stark	Unknown	35	40
Sansa Stark	Unknown	37	40
Sansa Stark	Unknown	38	40
Sansa Stark	Unknown	41	40
Sansa Stark	Unknown	42	40
Sansa Stark	Unknown	43	40
Sansa Stark	Unknown	44	40
Sansa Stark	Unknown	45	40
Sansa Stark	Unknown	46	40
Sansa Stark	Unknown	47	40
